,geometry,FID,COUNTY,Company,Address,City,State,Zip,MASTERTYPE,Type,Subtype,Latitude,Longitude,Emplycode,EmplyAvg,TYPE
187,POINT (-120.9254125 37.09392756),229,Merced,Morning Star Packing Co,13448 Volta Rd, Los Banos,CA,93635,cannery,cannery,tomato,37.09392756,-120.9254125,251.0,174.0,PROC
188,POINT (-120.6057141 37.34365809),230,Merced,teasdale foods inc,901 Packers St, Atwater,CA,95301,cannery,cannery,vegetable bean,37.34365809,-120.6057141,251.0,174.0,PROC
189,POINT (-120.994276 37.2433156),622,Merced,Andersen Nut Co,3050 S Hunt Rd,Gustine,CA,95322,walnut,shelling,walnut,37.2433156,-120.994276,251.0,174.0,PROC
190,POINT (-120.7598073 37.38560387),32,Merced,Del Rio Nut Company,15391 Vinewood Ave,Livingston,CA,95334,almond,shelling,almond,37.38560387,-120.7598073,251.0,174.0,PROC
191,POINT (-117.5163627 34.0245041),446,Riverside,Nestle Prepared Foods,3450 Dulles Dr, Mira Loma,CA,91752,misc,distributor,food beverage,34.0245041,-117.5163627,251.0,174.0,PROC
192,POINT (-121.3971006 38.48107098),159,Sacramento,Bimbo Bakeries,7601 Wilbur Way, Sacramento,CA,95828,bakery,bakery,bread,38.48107098,-121.3971006,251.0,174.0,PROC
193,POINT (-121.388323 36.848759),223,San Benito,san benito foods,865 East, Hollister,CA,95023,cannery,cannery,tomato,36.848759,-121.388323,251.0,174.0,PROC
194,POINT (-117.5911292 34.0793935),122,San Bernardino,FritoLay,9535 Archibald Ave, Rancho Cucamonga,CA,91730,bakery,distributor,bakery,34.0793935,-117.5911292,251.0,174.0,PROC
195,POINT (-117.5859904 34.0908334),212,San Bernardino,Mizkan America,10037 8th St, Rancho Cucamonga,CA,91730,cannery,cannery,grapes vegetables,34.0908334,-117.5859904,251.0,174.0,PROC
196,POINT (-117.5347044 34.0437872),183,San Bernardino,Coca Cola Ontario Syrup,1650 S Vintage Ave, Ontario,CA,91761,beverage,syrup,sugar,34.0437872,-117.5347044,251.0,174.0,PROC
197,POINT (-117.11278 33.11745716),105,San Diego,Bimbo Bakeries,2069 Aldergrove Ave, Escondido,CA,92029,bakery,bakery,bread,33.11745716,-117.11278,251.0,174.0,PROC
198,POINT (-122.423097 37.69239025),147,San Mateo,FritoLay,151 W Hill Pl, Brisbane,CA,94005,bakery,distributor,bakery,37.69239025,-122.423097,251.0,174.0,PROC
199,POINT (-122.4174799 37.65050204),146,San Mateo,Bimbo Bakeries,475 S Canal St, South San Francisco,CA,94080,bakery,bakery,bread,37.65050204,-122.4174799,251.0,174.0,PROC
200,POINT (-121.7087951 36.9535805),225,Santa Cruz,BellCarter Lindsay,233 Peckham Rd, Watsonville,CA,95076,cannery,cannery,olive,36.9535805,-121.7087951,251.0,174.0,PROC
201,POINT (-121.7799047 36.8974394),405,Santa Cruz,Del Mar Foods,1720 Beach Rd, Watsonville,CA,95076,freshfrozen,frozen,apple peach apricot blackberries strawberries brussel sprouts bell pepers spinach,36.8974394,-121.7799047,251.0,174.0,PROC
202,POINT (-121.8199584 38.41656818),538,Solano,Superior Farms,6621 Midway Rd, Dixon,CA,95620,redmeat,processor,meat,38.41656818,-121.8199584,251.0,174.0,PROC
203,POINT (-121.9497933 38.4059222),303,Solano,Mariani Packing,500 Crocker Dr, Vacaville,CA,95688,dehydrator,dehydrator,fruit,38.4059222,-121.9497933,251.0,174.0,PROC
204,POINT (-120.8066958 37.60404176),45,Stanislaus,"Hughson Nut, Inc.",1825 Verduga Rd,Hughson,CA,95326,almond,shelling,almond,37.60404176,-120.8066958,251.0,174.0,PROC
205,POINT (-120.9963177 37.62251705),536,Stanislaus,Yosemite Meat Co Inc,601 Zeff Rd, Modesto,CA,95351,redmeat,distribution,meat,37.62251705,-120.9963177,251.0,174.0,PROC
206,POINT (-120.9964216 37.64508432),31,Stanislaus,Montpelier Nut Co.,1518 K Street,Modesto,CA,95354,almond,shelling,almond,37.64508432,-120.9964216,251.0,174.0,PROC
207,POINT (-120.9214512 37.62811401),283,Stanislaus,Nestle Prepared Foods,736 Garner Rd, Modesto,CA,95357,dairy,dairy,milk,37.62811401,-120.9214512,251.0,174.0,PROC
208,POINT (-121.0161811 37.31116518),275,Stanislaus,Saputo Cheese USA Inc,691 Inyo Ave, Newman,CA,95360,dairy,dairy,cheese,37.31116518,-121.0161811,251.0,174.0,PROC
209,POINT (-120.8854922 37.48950069),277,Stanislaus,California Dairies Inc,475 S Tegner Rd, Turlock,CA,95380,dairy,distributor,dairy,37.48950069,-120.8854922,251.0,174.0,PROC
210,POINT (-120.857364 37.498202),278,Stanislaus,Hilmar Cheese Company,3600 W Canal Dr, Turlock,CA,95380,dairy,dairy,cheese,37.498202,-120.857364,251.0,174.0,PROC
211,POINT (-120.8717827 37.49206219),301,Stanislaus,sensient natural ingredients,151 S Walnut Rd, Turlock,CA,95380,dehydrator,dehydrator,garlic onion capsicums vegetables,37.49206219,-120.8717827,251.0,174.0,PROC
212,POINT (-120.8459656 37.48715302),626,Stanislaus,Turlock Walnut Company Inc,400 D Street, Turlock,CA,95380,walnut,shelling,walnut,37.48715302,-120.8459656,251.0,174.0,PROC
213,POINT (-119.3296801 36.12369258),262,Tulare,Kraft Hinez Qinc,10800 Ave 184, Tulare,CA,93274,dairy,dairy,dairy,36.12369258,-119.3296801,251.0,174.0,PROC
214,POINT (-119.3357035 36.1836749),263,Tulare,Saputo Cheese USA Inc,800 E Paige Ave, Tulare,CA,93274,dairy,dairy,cheese,36.1836749,-119.3357035,251.0,174.0,PROC
215,POINT (-119.3334667 36.19635073),266,Tulare,Saputo Cheese USA Inc,1025 E Bardsley Ave, Tulare,CA,93274,dairy,dairy,cheese,36.19635073,-119.3334667,251.0,174.0,PROC
216,POINT (-119.3922216 36.3449409),269,Tulare,California Dairies Inc,2000 N Plaza Dr, Visalia,CA,93291,dairy,distributor,dairy,36.3449409,-119.3922216,251.0,174.0,PROC
217,POINT (-119.1385214 34.2048211),292,Ventura,olde thompson inc,3250 Camino Del Sol, Oxnard,CA,93030,dehydrator,dehydrator,spice vegetables,34.2048211,-119.1385214,251.0,174.0,PROC
218,POINT (-119.1765679 34.20034594),386,Ventura,tree top,1250 E Third St, Oxnard,CA,93030,freshfrozen,frozen,fruit,34.20034594,-119.1765679,251.0,174.0,PROC
219,POINT (-119.1685975 34.1922206),450,Ventura,pacific coast produce,950 Mountain View Ave, Oxnard,CA,93030,misc,distribution,misc fruit meat dairy,34.1922206,-119.1685975,251.0,174.0,PROC
220,POINT (-121.5711667 38.56571387),160,Yolo,FritoLay,3810 Seaport Blvd, West Sacramento,CA,95691,bakery,distributor,bakery,38.56571387,-121.5711667,251.0,174.0,PROC
221,POINT (-121.5426678 38.56626410000001),550,Yolo,Farmers Rice Cooperative,1800 Terminal St, West Sacramento,CA,95691,rice,hulling mill,rice,38.5662641,-121.5426678,251.0,174.0,PROC
222,POINT (-121.7141437 38.6780287),551,Yolo,pgp international,351 Hanson Way, Woodland,CA,95776,rice,flour mill,grains rice,38.6780287,-121.7141437,251.0,174.0,PROC
223,POINT (-122.1251183 37.6330492),284,Alameda,Foster Farms Dairy Crystal,3440 Enterprise Ave, Hayward,CA,94545,dairy,dairy,dairy,37.6330492,-122.1251183,252.0,374.0,PROC
224,POINT (-121.5573586 39.5050149),253,Butte,pacific coast producers,1601 Mitchell Ave, Oroville,CA,95965,cannery,cannery,fruit tomato,39.5050149,-121.5573586,252.0,374.0,PROC
225,POINT (-119.7133183 36.8437344),403,Fresno,wawona frozen foods,100 W Alluvial Ave, Clovis,CA,93611,freshfrozen,frozen,fruit,36.8437344,-119.7133183,252.0,374.0,PROC
226,POINT (-120.449824 36.8353426),221,Fresno,TomaTek Inc tomato,2502 N St, Firebaugh,CA,93622,cannery,cannery,tomato,36.8353426,-120.449824,252.0,374.0,PROC
227,POINT (-119.7764188 36.6971425),581,Fresno,Mission Foods,2849 E Edgar Ave, Fresno,CA,93706,tortilla,distributor,tortilla,36.6971425,-119.7764188,252.0,374.0,PROC
228,POINT (-118.8170324 35.19703906),388,Kern,Grimmway Arvin Organic,830 Sycamore Rd, Arvin,CA,93203,freshfrozen,distributor,vegetables,35.19703906,-118.8170324,252.0,374.0,PROC
229,POINT (-119.4750922 36.2725836),21,Kings,Nichols Pistachio,13762 1st Avenue,Hanford,CA,93230,almond,shelling,almond,36.2725836,-119.4750922,252.0,374.0,PROC
230,POINT (-119.6481326 36.2552677),217,Kings,Del Monte,10652 Jackson Ave, Hanford,CA,93230,cannery,cannery,fruit vegetable,36.2552677,-119.6481326,252.0,374.0,PROC
231,POINT (-118.201853 33.9977932),435,Los Angeles,General Mills,4309 Fruitland Ave, Vernon,CA,90058,mill,milling,bread,33.9977932,-118.201853,252.0,374.0,PROC
232,POINT (-118.0639687 33.89511025),442,Los Angeles,Safeway Distribution,12801 Excelsior Dr, Santa Fe Springs,CA,90670,misc,distributor,misc,33.89511025,-118.0639687,252.0,374.0,PROC
233,POINT (-118.2457127 33.86287660000001),650,Los Angeles,General Mills,1375 Beachey Pl, Carson,CA,90746,warehouse,warehouse,bread,33.8628766,-118.2457127,252.0,374.0,PROC
234,POINT (-118.4869818 34.32156421),656,Los Angeles,FritoLay,14069 Balboa Blvd, Sylmar,CA,91342,warehouse,warehouse,bakery,34.32156421,-118.4869818,252.0,374.0,PROC
235,POINT (-117.9328952 34.13148376),574,Los Angeles,Harvest Meat Co,6520 Irwindale Ave, Irwindale,CA,91702,seafood,warehouse,seafood,34.13148376,-117.9328952,252.0,374.0,PROC
236,POINT (-117.8803146 34.0007293),443,Los Angeles,Golden State Foods,19317 Arenth Ave, City of Industry,CA,91748,misc,distribution,meat dairy vegetables,34.0007293,-117.8803146,252.0,374.0,PROC
237,POINT (-120.726729 37.376697),300,Merced,sensient natural ingredients,9984 Walnut Ave, Livingston,CA,95334,dehydrator,dehydrator,garlic onion capsicums vegetables,37.376697,-120.726729,252.0,374.0,PROC
238,POINT (-117.6606051 33.66542383),108,Orange,FritoLay,26962 Vista Terrace, Lake Forest,CA,92630,bakery,distributor,bakery,33.66542383,-117.6606051,252.0,374.0,PROC
239,POINT (-117.9045251 33.86825896),441,Orange,kraft,1500 E Walnut Ave, Fullerton,CA,92831,misc,misc,misc dairy meat bakery,33.86825896,-117.9045251,252.0,374.0,PROC
240,POINT (-116.97286 32.56069353),383,San Diego,Heinz Frozen Food Co,7878 Airway Rd, San Diego,CA,92154,freshfrozen,frozen,misc,32.56069353,-116.97286,252.0,374.0,PROC
241,POINT (-121.5400784 37.00309108),298,Santa Clara,Gilroy foods,1350 CA 152, Gilroy,CA,95020,dehydrator,dehydrator,garlic onion capsicums,37.00309108,-121.5400784,252.0,374.0,PROC
242,POINT (-121.9008639 38.5249124),585,Solano,Dixon Ridge Farms,5430 Putah Creek Rd, Winters,CA,95694,walnut,shelling,walnut,38.5249124,-121.9008639,252.0,374.0,PROC
243,POINT (-120.9443222 37.62376015),231,Stanislaus,seneca foods corp,2801 Finch Rd, Modesto,CA,95354,cannery,cannery,apricots peaches pears,37.62376015,-120.9443222,252.0,374.0,PROC
244,POINT (-120.9915683 37.63599567),233,Stanislaus,stanislaus food pr,1202 D St, Modesto,CA,95354,cannery,cannery,tomato,37.63599567,-120.9915683,252.0,374.0,PROC
245,POINT (-120.9202307 37.63595179),232,Stanislaus,Del Monte,4000 Yosemite Blvd, Modesto,CA,95357,cannery,cannery,fruit vegetable,37.63595179,-120.9202307,252.0,374.0,PROC
246,POINT (-121.6416708 39.13874989),307,Sutter,sunsweet growers,901 N Walton Ave, Yuba City,CA,95993,dehydrator,dehydrator,prune date,39.13874989,-121.6416708,252.0,374.0,PROC
247,POINT (-122.1784341 39.92509305),254,Tehama,BellCarter Lindsay,1012 2nd St, Corning,CA,96021,cannery,cannery,olive,39.92509305,-122.1784341,252.0,374.0,PROC
248,POINT (-119.0066379 36.0792605),478,Tulare,Foster Farms,770 N Plano St, Porterville,CA,93257,poultrymeat,poultry,poultry,36.0792605,-119.0066379,252.0,374.0,PROC
249,POINT (-119.3347887 36.1883014),265,Tulare,Saputo Cheese USA Inc,901 E Levin Ave, Tulare,CA,93274,dairy,dairy,cheese,36.1883014,-119.3347887,252.0,374.0,PROC
250,POINT (-119.3423606 36.2039011),267,Tulare,Land O Lakes,400 S M St, Tulare,CA,93274,dairy,distributor,dairy,36.2039011,-119.3423606,252.0,374.0,PROC
251,POINT (-119.166061 34.1901658),385,Ventura,Gills Onions,1051 Pacific Ave, Oxnard,CA,93030,freshfrozen,fresh,onion,34.1901658,-119.166061,252.0,374.0,PROC
252,POINT (-121.9682522 38.52712769),96,Yolo,Mariani Nut Company,709 Dutton Street,Winters,CA,95694,almond,shelling,almond,38.52712769,-121.9682522,252.0,374.0,PROC
253,POINT (-121.757955 38.6789674),247,Yolo,pacific coast producers,1376 Lemen Ave, Woodland,CA,95776,cannery,cannery,fruit tomato,38.6789674,-121.757955,252.0,374.0,PROC
254,POINT (-119.5772096 36.5053632),398,Fresno,sunsweet fresh,11888 E Clarkson Ave, Kingsburg,CA,93631,freshfrozen,fresh,prune date,36.5053632,-119.5772096,254.0,749.0,PROC
255,POINT (-118.9244892 35.283402),394,Kern,Grimmway Enterprises,6900 Mountain View Rd, Bakersfield,CA,93307,freshfrozen,farm,misc carrot,35.283402,-118.9244892,254.0,749.0,PROC
256,POINT (-117.5532073 34.0936746),578,San Bernardino,GrumaMissions Food Corp,11559 Jersey Blvd, Rancho Cucamonga,CA,91730,tortilla,bakery,tortilla,34.0936746,-117.5532073,254.0,749.0,PROC
257,POINT (-121.2545074 37.91029296),601,San Joaquin,Pearl Crop Inc,1550 Industrial Drive, Stockton,CA,95206,walnut,shelling,walnut,37.91029296,-121.2545074,254.0,749.0,PROC
258,POINT (-120.8361494 37.48746862),482,Stanislaus,Foster Farms,1033 S Center St, Turlock,CA,95380,poultrymeat,poultry,poultry,37.48746862,-120.8361494,254.0,749.0,PROC
259,POINT (-119.3325655 36.1862689),264,Tulare,Nestle Dreyers,970 E Continental Ave, Tulare,CA,93274,dairy,dairy,frozen,36.1862689,-119.3325655,254.0,749.0,PROC
260,POINT (-119.7983342 36.6968287),479,Fresno,Foster Farms,2960 S Cherry Ave, Fresno,CA,93706,poultrymeat,poultry,poultry,36.6968287,-119.7983342,260.0,1500.0,PROC
261,POINT (-115.5263231 33.00091292),486,Imperial,National Beef LP,57 Shank Rd, Brawley,CA,92227,redmeat,distributer,beef,33.00091292,-115.5263231,260.0,1500.0,PROC
262,POINT (-119.8858919 35.64094278),475,Kern,Horizon Nut Co,14633 CA 33, Lost Hills,CA,93249,pistachio,shelling,pistachios,35.64094278,-119.8858919,260.0,1500.0,PROC
263,POINT (-120.8500334 37.41729805),276,Merced,Hilmar Cheese Company,8901 North Lander Avenue, Hilmar,CA,95324,dairy,dairy,cheese,37.41729805,-120.8500334,260.0,1500.0,PROC
264,POINT (-121.479909 38.5843799),44,Sacramento,Blue Diamond Growers,"1802 """"C"""" St.",Sacramento,CA,95814,almond,shelling,almond,38.5843799,-121.479909,260.0,1500.0,PROC
265,POINT (-122.7252802 38.3911388),413,Sonoma,Odwalla Juices,345 Sutton Pl, Santa Rosa,CA,95407,freshfrozen,misc,fruit vegetable,38.3911388,-122.7252802,260.0,1500.0,PROC
266,POINT (-122.0824347 37.6123694),193,Alameda,Pepsi Co,29000 Hesperian Blvd, Hayward,CA,94544,beverage,distributor,beverage,37.6123694,-122.0824347,0.0,0.0,PROC
267,POINT (-122.1648034 37.6964714),194,Alameda,Coca Cola,14655 Wicks Blvd, San Leandro,CA,94577,beverage,manufacturer,beverage,37.6964714,-122.1648034,0.0,0.0,PROC
268,POINT (-122.308272 37.78860218),339,Alameda,Hangar 1 Vodka,2505 Monarch St, Alameda,CA,94501,distillery,distillery,distillers grain,37.78860218,-122.308272,0.0,0.0,PROC
269,POINT (-122.3091766 37.787583),340,Alameda,St George Spirits,2601 Monarch St, Alameda,CA,94501,distillery,distillery,distillers grain,37.787583,-122.3091766,0.0,0.0,PROC
270,POINT (-121.8137265 37.707592),348,Alameda,Sutherland Distilling Company,3189 Independence Dr, Livermore,CA,94551,distillery,distillery,distillers grain,37.707592,-121.8137265,0.0,0.0,PROC
271,POINT (-122.2673971 37.8142698),359,Alameda,Crooked City Cider,477 25th St, Oakland,CA,94612,distillery,distillery,distillers grain,37.8142698,-122.2673971,0.0,0.0,PROC
272,POINT (-122.2995967 37.8790962),201,Alameda,Gilman Brewery Company,912 Gilman St, Berkeley,CA,94710,brewery,brewery,grains,37.8790962,-122.2995967,0.0,0.0,PROC
273,POINT (-122.2783479 37.79788631),522,Alameda,Allied Pringle Food Sales,333 Clay St, Oakland,CA,94607,redmeat,distributer,meat,37.79788631,-122.2783479,0.0,0.0,PROC
274,POINT (-122.2997224 37.8654459),676,Alameda,Takara Sake USA Inc,22750 Hawthorne Blvd # 205, Torrance,CA,90505,winery,winery,pomace,37.8654459,-122.2997224,0.0,0.0,PROC
275,POINT (-121.7199919 37.6775519),678,Alameda,Eckert Estate Winery,5963 Graham Ct D, Livermore,CA,94550,winery,winery,pomace,37.6775519,-121.7199919,0.0,0.0,PROC
277,POINT (-122.1410094 37.6462406),659,Alameda,Mission Foods,2748 W Winton Ave, Hayward,CA,94545,warehouse,warehouse,tortilla,37.6462406,-122.1410094,0.0,0.0,PROC
278,POINT (-121.8315442 39.7445142),8,Butte,Western Nut Company,1026 Sheridan Avenue,Chico,CA,95926,almond,shelling,almond,39.7445142,-121.8315442,0.0,0.0,PROC
279,POINT (-121.8524769 39.7483933),50,Butte,Chico Nut Company,2020 Esplanade,Chico,CA,95926,almond,shelling,almond,39.7483933,-121.8524769,0.0,0.0,PROC
280,POINT (-121.8437537 39.7151404),17,Butte,Maisie Jane's,1324 Dayton Rd.,Chico,CA,95928,almond,shelling,almond,39.7151404,-121.8437537,0.0,0.0,PROC
281,POINT (-121.879513 39.6992817),69,Butte,Vanella Farms,3068 Chico Ave.,Chico,CA,95928,almond,shelling,almond,39.6992817,-121.879513,0.0,0.0,PROC
282,POINT (-121.8115995 39.6250391),6,Butte,Antonowich hulling,2656 House Ave, Durham,CA,95938,almond,shelling,almond,39.6250391,-121.8115995,0.0,0.0,PROC
283,POINT (-121.9194823 39.7254009),11,Butte,"Fair Trade Corner, Inc.",11591 Meridian Rd.,Chico,CA,95973,almond,shelling,almond,39.7254009,-121.9194823,0.0,0.0,PROC
284,POINT (-121.5521462 39.4926099),165,Butte,Delallo Italian,1801 Idora St, Oroville,CA,95966,bakery,bakery,pasta bread,39.4926099,-121.5521462,0.0,0.0,PROC
285,POINT (-121.8152686 39.7244367),205,Butte,Sierra Nevada Brewery,1075 E 20th St, Chico,CA,95928,brewery,brewery,grains,39.7244367,-121.8152686,0.0,0.0,PROC
286,POINT (-121.551833 39.49385480000001),252,Butte,Delallo Italian,1800 Idora St, Oroville,CA,95966,cannery,cannery,olive tomato,39.4938548,-121.551833,0.0,0.0,PROC
287,POINT (-121.6879771 39.37388819),251,Butte,stapleton spense packing,1901 Highway 99, Gridley,CA,95948,cannery,cannery,plums prunes,39.37388819,-121.6879771,0.0,0.0,PROC
288,POINT (-121.8156589 39.7148081),336,Butte,Hooker Oak Distillery LLC,2420 Park Ave, Chico,CA,95928,distillery,distillery,distillers grain,39.7148081,-121.8156589,0.0,0.0,PROC
289,POINT (-121.7992644 39.6409589),376,Butte,Almendra Winery  Distillery,9275 Midway, Durham,CA,95938,distillery,distillery,distillers grain,39.6409589,-121.7992644,0.0,0.0,PROC
290,POINT (-121.486755 39.484101),362,Butte,Cobble Ridge Distillery,555 Avacado Rd, Oroville,CA,95966,distillery,distillery,distillers grain,39.484101,-121.486755,0.0,0.0,PROC
291,POINT (-121.5753125 39.36485590000001),470,Butte,California Olive Ranch,2675 Lone Tree Rd, Oroville,CA,95965,olive,olive oil,olive,39.3648559,-121.5753125,0.0,0.0,PROC
292,POINT (-121.840868 39.7725849),473,Butte,California Olive Ranch,1367 E Lassen Ave, Chico,CA,95973,olive,olive oil,olive,39.7725849,-121.840868,0.0,0.0,PROC
293,POINT (-121.8503841 39.5509135),563,Butte,Far West Rice Inc,3455 Nelson Rd, Durham,CA,95938,rice,mill,rice,39.5509135,-121.8503841,0.0,0.0,PROC
294,POINT (-121.7468098 39.4993678),565,Butte,Lundberg Family Farms,5311 Midway, Richvale,CA,95974,rice,mill,rice,39.4993678,-121.7468098,0.0,0.0,PROC
295,POINT (-121.8315442 39.7445142),589,Butte,Western Nut co,1026 Sheridan Avenue, Chico,CA,95926,walnut,shelling,walnut,39.7445142,-121.8315442,0.0,0.0,PROC
296,POINT (-121.8741326 39.744878),631,Butte,Red Barn Walnut Co,50 Guynn Bridge Ct., Chico,CA,95926,walnut,shelling,walnut,39.744878,-121.8741326,0.0,0.0,PROC
297,POINT (-121.8175876 39.7041942),619,Butte,Acme Walnut,2644 Hegan Ln,Chico,CA,95928,walnut,shelling,walnut,39.7041942,-121.8175876,0.0,0.0,PROC
298,POINT (-121.879513 39.6992817),623,Butte,Vanella Farms,3068 Chico Ave., Chico,CA,95928,walnut,processor,walnut,39.6992817,-121.879513,0.0,0.0,PROC
299,POINT (-121.8647606 39.6948368),625,Butte,Smith Walnut Orchards,3710 Cosby Avenue, Chico,CA,95928,walnut,shelling,walnut,39.6948368,-121.8647606,0.0,0.0,PROC
300,POINT (-121.9482411 39.6468153),645,Butte,Bremner Farms,9457 River Road, Chico,CA,95928,walnut,shelling,walnut,39.6468153,-121.9482411,0.0,0.0,PROC
301,POINT (-121.6598883 39.3430373),590,Butte,Golden Pacific Farms LLC,1038 Larkin Road, Gridley,CA,95948,walnut,shelling,walnut,39.3430373,-121.6598883,0.0,0.0,PROC
302,POINT (-121.9775534 39.8012376),635,Butte,Berberian Nut Co,6100 Wilson Landing Road, Chico,CA,95973,walnut,shelling,walnut,39.8012376,-121.9775534,0.0,0.0,PROC
303,POINT (-121.7992644 39.6409589),680,Butte,Bertagna Son Kissed Vineyards,9275 Midway, Durham,CA,95938,winery,winery,pomace,39.6409589,-121.7992644,0.0,0.0,PROC
304,POINT (-120.625043 38.074616),155,Calaveras,FritoLay,2245 CA 49, Angels Camp,CA,95222,bakery,distributor,bakery,38.074616,-120.625043,0.0,0.0,PROC
305,POINT (-122.0699433 39.00099594),100,Colusa,D & K Orchards,862 Almond Avenue,Arbuckle,CA,95912,almond,shelling,almond,39.00099594,-122.0699433,0.0,0.0,PROC
306,POINT (-122.014634 39.032646),566,Colusa,California Family Foods Inc,6550 Struckmeyer Rd, Arbuckle,CA,95912,rice,mill,rice,39.032646,-122.014634,0.0,0.0,PROC
307,POINT (-122.0177766 38.96223341),567,Colusa,Sun Valley Rice Co LLC,7050 Eddy Rd, Arbuckle,CA,95912,rice,mill,rice,38.96223341,-122.0177766,0.0,0.0,PROC
308,POINT (-122.0274682 39.36054001),553,Colusa,Farmers Rice Cooperative,4937 CA 45, Colusa,CA,95932,rice,warehouse,rice,39.36054001,-122.0274682,0.0,0.0,PROC
309,POINT (-122.010476 39.211344),562,Colusa,Colusa Rice Company,2889 Niagara Ave, Colusa,CA,95932,rice,distributer,rice,39.211344,-122.010476,0.0,0.0,PROC
310,POINT (-121.9972567 39.19557132),639,Colusa,Empire Nut Company LLC,7229 Moon Bend Rd., Colusa,CA,95932,walnut,shelling,walnut,39.19557132,-121.9972567,0.0,0.0,PROC
311,POINT (-122.132647 39.276388),571,Colusa,Polit Farms Inc,Old Hwy 99W, Maxwell,CA,95955,rice,mill,rice,39.276388,-122.132647,0.0,0.0,PROC
312,POINT (-122.145602 39.148021),79,Colusa,Vann Family Orchards,365 Ruggieri Way,Williams,CA,95987,almond,shelling,almond,39.148021,-122.145602,0.0,0.0,PROC
313,POINT (-122.145602 39.148021),308,Colusa,olam spices and vegetable ingredients,6229 Myers Road, Williams,CA,95987,dehydrator,dehydrator,spice vegetables,39.148021,-122.145602,0.0,0.0,PROC
314,POINT (-122.145602 39.148021),552,Colusa,American Commodity Company ACCGWG LLC Great Western Growers,6133 Abel Rd, Williams,CA,95987,rice,hulling mill,rice,39.148021,-122.145602,0.0,0.0,PROC
315,POINT (-122.145602 39.148021),559,Colusa,Tamaki Rice Corp,1701 Abel Rd, Williams,CA,95987,rice,mill,rice,39.148021,-122.145602,0.0,0.0,PROC
316,POINT (-121.9600569 37.76912133),196,Contra Costa,Coca Cola,19875 Pacific Gateway Dr, Torrance,CA,90502,beverage,manufacturer,beverage,37.76912133,-121.9600569,0.0,0.0,PROC
317,POINT (-121.8370613 38.0090202),153,Contra Costa,Costco Bakery,2201 Verne Roberts Cir, Antioch,CA,94509,bakery,bakery,bread,38.0090202,-121.8370613,0.0,0.0,PROC
318,POINT (-121.61364 37.872),669,Contra Costa,E  J Gallo Winery,1300 Camino Diablo, Byron,CA,94514,winery,winery,grape,37.872,-121.61364,0.0,0.0,PROC
319,POINT (-121.7474453 38.00163905),594,Contra Costa,Continente Nut LLC,112 Sandy Lane, Oakley,CA,94561,walnut,shelling,walnut,38.00163905,-121.7474453,0.0,0.0,PROC
320,POINT (-121.9683584 37.7682307),463,Contra Costa,The Kraft Heinz Co,3000 Executive Pkwy, San Ramon,CA,94583,misc,distributor,misc dairy meat bakery,37.7682307,-121.9683584,0.0,0.0,PROC
321,POINT (-121.9600569 37.76912133),464,Contra Costa,hj heinz co,2603 Camino Ramon  180, San Ramon,CA,94583,misc,distributor,misc dairy meat bakery,37.76912133,-121.9600569,0.0,0.0,PROC
322,POINT (-121.9616311 37.7739218),465,Contra Costa,kraft,12667 Alcosta Blvd, San Ramon,CA,94583,misc,distributor,misc dairy meat bakery,37.7739218,-121.9616311,0.0,0.0,PROC
323,POINT (-122.0585818 37.9289597),240,Contra Costa,Del Monte,3003 Oak Rd, Walnut Creek,CA,94597,cannery,cannery,fruit vegetable,37.9289597,-122.0585818,0.0,0.0,PROC
324,POINT (-122.0265589 37.92695924),239,Contra Costa,Del Monte,205 N Wiget Ln, Walnut Creek,CA,94598,cannery,cannery,fruit vegetable,37.92695924,-122.0265589,0.0,0.0,PROC
325,POINT (-122.3311499 37.9884985),241,Contra Costa,Del Monte,4136 Lakeside Dr, San Pablo,CA,94806,cannery,cannery,fruit vegetable,37.9884985,-122.3311499,0.0,0.0,PROC
326,POINT (-122.3536563 37.98168650000001),350,Contra Costa,Falcon Spirits Distillery,3701 Collins Ave, Richmond,CA,94806,distillery,distillery,distillers grain,37.9816865,-122.3536563,0.0,0.0,PROC
327,POINT (-120.901475 38.917442),249,El Dorado,Ingomar Packing Company,9950 S. Ingomar Grade, Los Banos,CA,95635,cannery,cannery,tomato,38.917442,-120.901475,0.0,0.0,PROC
328,POINT (-120.743483 38.73360621),346,El Dorado,1848 Distillery,3073 Newtown Rd, Placerville,CA,95667,distillery,distillery,distillers grain,38.73360621,-120.743483,0.0,0.0,PROC
329,POINT (-121.0594061 38.62264057000001),360,El Dorado,Dry Diggings Distillery,5050 Robert J Mathews Pkwy, El Dorado Hills,CA,95762,distillery,distillery,distillers grain,38.62264057,-121.0594061,0.0,0.0,PROC
330,POINT (-120.092781 36.185731),457,Fresno,Woolf Enterprises,18900 Gayle Ave, Huron,CA,93234,misc,farm,almond pistachio wheat garlic hay onion tomato grape walnut,36.185731,-120.092781,0.0,0.0,PROC
331,POINT (-120.3958442 36.5603032),424,Fresno,Pacific Pima Gin Inc,33370 W Nebraska Ave, Cantua Creek,CA,93608,gin,gin,cotton,36.5603032,-120.3958442,0.0,0.0,PROC
332,POINT (-119.800066 36.5074085),35,Fresno,"Almonds California Pride, Inc.",15516 South Walnut Ave.,Caruthers,CA,93609,almond,shelling,almond,36.5074085,-119.800066,0.0,0.0,PROC
